treated,post,treated_post,return_on_equity,tier_1_leverage_capital_ratio,tier_1_risk_based_capital_ratio,total_risk_based_capital_ratio,brokered_deposits_to_total_deposits,net_non_core_funding_dependence,core_deposits_as_of_total_assets,short_term_investments_as_of_total_assets,1_4_family_residential_loans,loans_to_individuals,commercial_industrial_loans,non_interest_expense_average_assets,efficiency_ratio,return_on_average_assets,net_interest_margin,noninterest_income_average_assets,CATE
1,0,0,0.4755739600705401,-0.3894288281148566,-0.6752977625901077,-0.6539167889246111,-0.5295349921200764,0.1610796556053314,0.37276827250403416,-0.9541523919846411,0.9285852858178245,-0.1984357667932602,-0.29704770631305355,-0.03467450683708973,-0.638320054080816,0.20381962524833638,0.27098372765778744,0.050390930206015976,1.9152618934459364
1,0,0,-0.7441827933702738,-1.4427026533788718,0.628668077380434,0.3804606771925,-0.623499329395757,0.716931282964764,-1.2032322924404995,1.856366713939969,-0.743952410843027,-0.8727811353548595,-1.5080039344396425,0.09534710994083888,2.3223295808388604,-0.8409182309210826,-1.1238157857338469,0.08427918782974722,-1.2679233033195714
0,0,0,-0.2188557370588323,0.6638449971491587,-0.2406424825999275,-0.13672805586605488,-0.5894243499441366,-0.4402218186354941,0.8513612095248214,-0.9183182733841023,0.545746517343409,-0.27420087476264116,0.8095906845018411,0.10076467730658603,-0.08939354248958117,0.024990622840958373,0.3751596249235525,-0.08516210028890958,-1.2679233033195714
0,0,0,-0.5820105886514383,-0.03833755302685114,-0.6752977625901077,-0.13672805586605488,-0.6183364537212691,-0.3120532504299666,0.6559702410004846,-0.8649184103715348,0.707716765544123,-0.40239112853074066,0.5235859472056114,0.16577548569555045,0.8868914287220878,-0.42678790955662826,0.45618532279692525,-0.3325463809421484,0.1980800014095123
0,0,0,-0.29093227248942605,-1.4427026533788718,-1.1099530425802877,-0.6539167889246111,-0.6002663888605613,0.40878132110892157,-0.5287886434400236,0.5396385128142892,1.1226031232347224,-0.37438317392594583,-0.295309075691192,-0.06717991103157195,1.7285164039045606,-0.6338530702388555,-0.6318740486455112,-0.20038217620959614,-1.2679233033195714
0,0,0,2.417482155037108,2.4193013725891848,2.801944477331335,3.4835930755438347,2.578516163921667,1.8745388830338365,-2.433046035505443,1.6259041472541509,-1.8508934653912237,2.7032601455317042,-1.983519409518784,3.2483713168056103,-0.8814561580224194,3.610982723746802,0.65296201763226,4.110204193529033,1.9152618934459364
0,0,0,-0.6748784323793185,2.7703926476771894,2.3672891973411545,1.9320268763681674,2.277520512099019,-2.4068366931933562,-1.5140188682580327,2.2976182135701326,-0.8400951784915793,-0.767212691075248,0.6418128294921985,-1.2427920293986776,-2.7769826299056115,-0.12560222129157045,-1.6504828219107712,-0.010607933516700523,-1.2679233033195714
0,0,0,-0.6859671301378713,1.717118822413174,1.932633917350975,1.9320268763681674,0.48703522818660006,1.4550367963185817,-0.9407187794348608,-0.5255482283311381,-0.30221537029562456,0.4328204408378853,1.504173617935541,-0.3272231445874294,-0.16794520683994563,-0.2950191709406654,-0.1341447617090774,-0.26815869145705884,0.5559490720223949
1,0,0,0.33973741252826756,-0.3894288281148566,-1.1099530425802877,-0.6539167889246111,-0.4495104191655132,-0.5088510874263971,1.165825732985166,-0.990689140361661,1.0775632681200857,-0.37330594490268443,0.253228885506136,-0.10510288259180108,0.398748943116253,-0.25737095990753334,0.07999458267055116,-0.3291575551797753,0.1980800014095123
0,0,0,2.2719429969561022,0.3127537220611538,0.19401279739025323,0.3804606771925,1.5960209230666107,1.4827612029162314,-1.0216336275767042,-0.76444235233473,-1.84916116327143,2.698951229438659,-1.9704796798548223,0.4420714213486489,-1.6389186356866452,1.4367985365834166,2.8811687091500158,-0.2884916460312977,1.9152618934459364
1,0,0,-1.1877307037123879,-0.3894288281148566,0.628668077380434,0.3804606771925,-0.5729031477857751,-0.9838019873369508,0.9184837540061235,-0.2838435852216216,0.9519713644350396,0.4978132585746529,-1.1707095937984964,0.33913764139945535,1.2628172509702587,-0.8503302836793657,0.3288592261387679,-0.24443691112044688,0.5559490720223949
1,0,0,-0.30202097024797864,-0.7405201032028615,-0.2406424825999275,-0.13672805586605488,-0.623499329395757,0.6283040815460484,-0.7949801040884734,1.2506998466132153,1.2620534438781181,-0.8253830583313604,-0.43787678668384145,-0.08885018049456009,1.3385634987366815,-0.6338530702388555,-1.1816912842148277,0.13850040002771744,-1.2679233033195714
1,0,0,-0.5459723209361417,0.3127537220611538,0.19401279739025323,0.8976494102510563,-0.3803278851273748,-0.6483821173522727,0.9708945079161803,-0.8550815935007986,1.1633122230498751,-0.6849842089662991,0.001996760647137949,-0.18094882571225956,0.30523505698486714,-0.3044312236989484,0.01633153434147223,-0.30543577484316337,0.1980800014095123
1,0,0,-0.42122447115242195,-0.03833755302685114,-0.6752977625901077,-0.13672805586605488,-0.5620611088693505,-0.46158324666974865,0.8495222357034163,-0.8122211771354484,0.004402104907866771,-0.32483063885592417,0.5618358208865658,-0.01300423737410159,0.6727446294812136,-0.35149148749036374,-0.08205681307619488,-0.21054865349671556,-1.2679233033195714
0,0,0,0.12905215511576343,-0.7405201032028615,-1.1099530425802877,-1.1711055219831674,-0.4784225229426457,-0.6352016617566687,0.6771184399466484,-0.28946462343347085,1.7843425329959293,-0.4461984421433685,-0.299655652245846,0.09534710994083888,-0.21283187218301056,-0.022069640950456947,0.2594086279615913,0.0029473695327920327,-1.2679233033195714
0,0,0,-0.6125045074874587,-0.3894288281148566,0.628668077380434,0.8976494102510563,-0.249190842995381,2.023614380804804,-1.2983991876982353,-0.015439010605821328,0.09534796619703763,0.15920426892950487,-0.1536106800094732,-0.26221233619846496,0.3033647792622391,-0.5020843316228927,0.1320825313034337,-0.4952100175360589,0.5559490720223949
